date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:35:59	7712/7712	---M--	200	added ('OK')	font/woff	etag:%223601813-1e20-536486cc5c980%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-arrows-10.woff	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-arrows-10.woff	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:35:59	16104/16104	---M--	200	added ('OK')	font/ttf	etag:%223601812-3ee8-536486cc5c980%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-arrows-10.ttf	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-arrows-10.ttf	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:00	34229/34229	---M--	200	added ('OK')	image/svg+xml	etag:%223601811-85b5-536486ca74500%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-arrows-10.svg	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-arrows-10.svg	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:00	21478/21478	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223601815-53e6-536486ce44e00%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-10.eot	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-10.eot	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:00	21478/21478	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223601819-53e6-536486ce44e00%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-10d41d.eot?	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-10d41dd41d.eot	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:00	12260/12260	---M--	200	added ('OK')	font/woff	etag:%223601818-2fe4-536486d7ce480%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-10.woff	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-10.woff	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:01	21284/21284	---M--	200	added ('OK')	font/ttf	etag:%223601817-5324-536486d7ce480%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-10.ttf	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-10.ttf	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:01	47869/47869	---M--	200	added ('OK')	image/svg+xml	etag:%223601816-bafd-536486d02d280%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-10.svg	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-10.svg	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:01	23746/23746	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22360181a-5cc2-536486d9b6900%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-elaboration-10.eot	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-elaboration-10.eot	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:01	23746/23746	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22360181e-5cc2-536486d9b6900%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-elaboration-10d41d.eot?	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-elaboration-10d41dd41d.eot	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:01	5788/5788	---M--	200	added ('OK')	font/woff	etag:%22360181d-169c-536486df6f680%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-elaboration-10.woff	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-elaboration-10.woff	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:02	23480/23480	---M--	200	added ('OK')	font/ttf	etag:%22360181c-5bb8-536486df6f680%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-elaboration-10.ttf	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-elaboration-10.ttf	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:02	49409/49409	---M--	200	added ('OK')	image/svg+xml	etag:%22360181b-c101-536486dd87200%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-elaboration-10.svg	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-basic-elaboration-10.svg	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:02	16110/16110	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22360181f-3eee-536486e157b00%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-ecommerce-10.eot	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-ecommerce-10.eot	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:02	16110/16110	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223601823-3eee-536486e157b00%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-ecommerce-10d41d.eot?	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-ecommerce-10d41dd41d.eot	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:03	5704/5704	---M--	200	added ('OK')	font/woff	etag:%223601822-1648-536486e528400%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-ecommerce-10.woff	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-ecommerce-10.woff	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:03	15892/15892	---M--	200	added ('OK')	font/ttf	etag:%223601821-3e14-536486e528400%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-ecommerce-10.ttf	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-ecommerce-10.ttf	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:03	37104/37104	---M--	200	added ('OK')	image/svg+xml	etag:%223601820-90f0-536486e33ff80%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-ecommerce-10.svg	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-ecommerce-10.svg	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:03	6238/6238	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223601824-185e-536486e710880%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-music-10.eot	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-music-10.eot	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:04	6238/6238	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223601828-185e-536486e710880%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-music-10d41d.eot?	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-music-10d41dd41d.eot	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:04	3568/3568	---M--	200	added ('OK')	font/woff	etag:%223601827-df0-536486eae1180%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-music-10.woff	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-music-10.woff	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:04	6044/6044	---M--	200	added ('OK')	font/ttf	etag:%223601826-179c-536486eae1180%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-music-10.ttf	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-music-10.ttf	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:04	13847/13847	---M--	200	added ('OK')	image/svg+xml	etag:%223601825-3617-536486e8f8d00%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-music-10.svg	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-music-10.svg	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
07:36:05	16776/16776	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223601829-4188-536486ecc9600%22	https://hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-software-10.eot	C:/Users/Suvro%20Datta/Desktop/admin/hencework.com/theme/philbert/full-width-light/dist/fonts/linea-icons/linea-software-10.eot	(from https://hencework.com/theme/philbert/full-width-light/dist/css/linea-icon.css)
