date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:00:25	17539/17539	---M--	200	added ('OK')	image/jpeg	etag:%222ee217a-4483-5586fc73fe461%22	http://themesground.com/bigshop/V2/assets/images/banners/small-2.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/banners/small-2.jpg	(from http://themesground.com/bigshop/V2/)
08:00:27	15324/15324	---M--	200	added ('OK')	image/jpeg	etag:%222ee217b-3bdc-5586fc747a0d2%22	http://themesground.com/bigshop/V2/assets/images/banners/small-3.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/banners/small-3.jpg	(from http://themesground.com/bigshop/V2/)
08:00:27	209155/209155	---M--	200	added ('OK')	image/jpeg	etag:%222ee214c-33103-5586fc638ae72%22	http://themesground.com/bigshop/V2/assets/images/cart.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/cart.jpg	(from http://themesground.com/bigshop/V2/)
08:00:28	16622/16622	---M--	200	added ('OK')	image/jpeg	etag:%222ee2179-40ee-5586fc734b13a%22	http://themesground.com/bigshop/V2/assets/images/banners/small-1.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/banners/small-1.jpg	(from http://themesground.com/bigshop/V2/)
08:00:29	12309/12309	---M--	200	added ('OK')	image/jpeg	etag:%222ee2178-3015-5586fc7292054%22	http://themesground.com/bigshop/V2/assets/images/banners/promo-banner.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/banners/promo-banner.jpg	(from http://themesground.com/bigshop/V2/)
08:00:38	100020/100020	---M--	200	added ('OK')	image/jpeg	etag:%222ee21bd-186b4-5586fce89b666%22	http://themesground.com/bigshop/V2/assets/images/sliders/02.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/sliders/02.jpg	(from http://themesground.com/bigshop/V2/)
08:00:42	81116/81116	---M--	200	added ('OK')	image/jpeg	etag:%222ee218e-13cdc-5586fc88c1a25%22	http://themesground.com/bigshop/V2/assets/images/hot-deals/p10.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/hot-deals/p10.jpg	(from http://themesground.com/bigshop/V2/)
08:00:51	140673/140673	---M--	200	added ('OK')	image/jpeg	etag:%222ee2190-22581-5586fc8fe3c83%22	http://themesground.com/bigshop/V2/assets/images/hot-deals/p5.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/hot-deals/p5.jpg	(from http://themesground.com/bigshop/V2/)
08:00:59	103161/103161	---M--	200	added ('OK')	image/jpeg	etag:%222ee21b1-192f9-5586fcc86c016%22	http://themesground.com/bigshop/V2/assets/images/products/p29.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p29.jpg	(from http://themesground.com/bigshop/V2/)
08:01:01	208323/208323	---M--	200	added ('OK')	image/jpeg	etag:%222ee2191-32dc3-5586fc97479a6%22	http://themesground.com/bigshop/V2/assets/images/hot-deals/p8.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/hot-deals/p8.jpg	(from http://themesground.com/bigshop/V2/)
08:01:04	166521/166521	---M--	200	added ('OK')	image/jpeg	etag:%222ee21b3-28a79-5586fcce9f632%22	http://themesground.com/bigshop/V2/assets/images/products/p30.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p30.jpg	(from http://themesground.com/bigshop/V2/)
08:01:07	99510/99510	---M--	200	added ('OK')	image/jpeg	etag:%222ee21b0-184b6-5586fcc49980b%22	http://themesground.com/bigshop/V2/assets/images/products/p28.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p28.jpg	(from http://themesground.com/bigshop/V2/)
08:01:13	76484/76484	---M--	200	added ('OK')	image/jpeg	etag:%222ee21ae-12ac4-5586fcc0c588f%22	http://themesground.com/bigshop/V2/assets/images/products/p26.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p26.jpg	(from http://themesground.com/bigshop/V2/)
08:01:23	147185/147185	---M--	200	added ('OK')	image/jpeg	etag:%222ee21af-23ef1-5586fcc603507%22	http://themesground.com/bigshop/V2/assets/images/products/p27.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p27.jpg	(from http://themesground.com/bigshop/V2/)
08:01:26	113644/113644	---M--	200	added ('OK')	image/jpeg	etag:%222ee21ac-1bbec-5586fcbde7e6e%22	http://themesground.com/bigshop/V2/assets/images/products/p24.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p24.jpg	(from http://themesground.com/bigshop/V2/)
08:01:30	102536/102536	---M--	200	added ('OK')	image/jpeg	etag:%222ee21ab-19088-5586fcb9da12e%22	http://themesground.com/bigshop/V2/assets/images/products/p23.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p23.jpg	(from http://themesground.com/bigshop/V2/)
